Scientificname,Biologicalname,Medicinalvalue
Gymnema sylvestre,Gymnema,Used for its blood sugar-lowering effects and to reduce sugar cravings.
Gynura divaricata,Longevity Spinach,Used for its antioxidant properties and potential benefits for liver health.
Helicteres hirsuta,Hairy Helicteres,Used for its anti-inflammatory and analgesic properties.
Hemerocallis fulva,Daylily,Used for its diuretic effects and to treat digestive issues.
Hemigraphis glaucescens,Watermelon Plant,Used for its potential anti-inflammatory and antimicrobial effects.
Hibiscus mutabilis,Cotton Rose,Used for its antioxidant properties and to support skin health.
Hibiscus rosa-sinensis,Chinese Hibiscus,Used for its cooling effects and to treat respiratory conditions.
Hibiscus sabdariffa,Roselle,Used for its antioxidant properties and to support heart health.
Holarrhena pubescens,Conventional Holarrhena,Used for treating digestive disorders and as an anti-inflammatory.
Homalomena occulta,Homalomena,Used in traditional medicine for its anti-inflammatory and diuretic effects.
Houttuynia cordata,Fish Mint,Used for its antibacterial properties and to support respiratory health.
Imperata cylindrica,Cogongrass,Used for its diuretic properties and to treat urinary disorders.
Iris domestica,Blackberry Lily,Used for its anti-inflammatory and analgesic effects.
Ixora coccinea,Flame of the Woods,Used for its potential antimicrobial and anti-inflammatory properties.
Jasminum sambac,Arabian Jasmine,Used for its calming effects and as an aphrodisiac.
Jatropha gossypiifolia,Cotton Leaved Jatropha,Used for its anti-inflammatory and analgesic properties.
Jatropha multifida,Bellyache Bush,Used traditionally for its purgative and anti-inflammatory effects.
Jatropha podagrica,Guatemala Rhubarb,Used for its anti-inflammatory properties and to treat skin conditions.
Justicia gendarussa,Malabar Nut,Used for its anti-inflammatory and analgesic effects.
Kalanchoe pinnata,Life Plant,Used for its wound healing and anti-inflammatory properties.
Lactuca indica,Wild Lettuce,Used for its sedative effects and to relieve pain.
Lantana camara,Spanish Flag,Used for its anti-inflammatory and antimicrobial properties.
Lawsonia inermis,Henna,Used for its dyeing properties and to promote skin health.
Leea rubra,Leea,Used for its astringent and anti-inflammatory effects.
Litsea glutinosa,Giant Nutmeg,Used for its antiseptic and anti-inflammatory properties.
Lonicera dasystyla,Honeysuckle,Used for its antibacterial properties and to support respiratory health.
Ipomoea sp,Morning Glory,Used traditionally for its laxative effects and to treat skin conditions.
Maesa,Maesa,Used for its astringent properties and in traditional remedies.
Mallotus barbatus,Red Mallotus,Used for its anti-inflammatory and analgesic properties.
Mangifera,Mango,Rich in vitamins; used for digestive health and skin benefits.
Melastoma malabathricum,Malabar Melastome,Used for its anti-inflammatory and wound healing properties.
Mentha spicata,Spearmint,Used for digestive issues and to relieve headaches.
Microcos tomentosa,Hairy Microcos,Used for its anti-inflammatory and analgesic properties.
Micromelum falcatum,Micromelum,Used for its antimicrobial and anti-inflammatory effects.
Millettia pulchra,Beautiful Millettia,Used traditionally for its anti-inflammatory and analgesic properties.
Mimosa pudica,Sensitive Plant,Used for its calming effects and to treat wounds.
Morinda citrifolia,Noni,Rich in antioxidants; used to boost immune function and promote skin health.
Moringa oleifera,Drumstick Tree,Used for its nutritional benefits and anti-inflammatory properties.
Morus alba,White Mulberry,Used for its potential to regulate blood sugar and support heart health.
Mussaenda philippica,Golden Mussaenda,Used for its anti-inflammatory and wound healing properties.
Nelumbo nucifera,Lotus,Used for its calming effects and to support heart health.
Ocimum basilicum,Basil,Used for its anti-inflammatory properties and to aid digestion.
Ocimum gratissimum,African Basil,Used for its antimicrobial and anti-inflammatory effects.
Ocimum sanctum,Holy Basil,Used for its adaptogenic properties and to reduce stress.
Oenanthe javanica,Water Celery,Used for its diuretic effects and to support digestive health.
Ophiopogon japonicus,Mondo Grass,Used for its potential benefits in lung health and anti-inflammatory properties.
Paederia lanuginosa,Hairy Paederia,Used for its anti-inflammatory and antimicrobial properties.
Pandanus amaryllifolius,Pandan,Used for its flavoring properties and to aid digestion.
Pandanus sp,Screw Pine,Used traditionally for its aromatic properties and in culinary applications.
Pandanus tectorius,Hala Tree,Used for its fibrous leaves and potential anti-inflammatory effects.
Parameria laevigata,Parameria,Used for its anti-inflammatory and tonic properties.
Passiflora foetida,Wild Passionflower,Used for its calming effects and to treat anxiety.
Pereskia sacharosa,Rose Cactus,Used for its potential anti-inflammatory and wound healing properties.
Persicaria odorata,Vietnamese Mint,Used for its digestive benefits and antimicrobial properties.
Phlogacanthus turgidus,Phlogacanthus,Used for its anti-inflammatory and antiseptic effects.
Phrynium placentarium,Rattlesnake Plant,Used for its traditional use in treating skin conditions and as an anti-inflammatory.
Phyllanthus reticulatus,Leaf Flower,Used for its liver health benefits and antiviral properties.
Piper betle,Betel Leaf,Used for its digestive aid and antimicrobial effects.
Piper sarmentosum,Wild Betel Leaf,Used for its anti-inflammatory and antimicrobial properties.
Plantago,Plantain,Used for its wound healing and anti-inflammatory effects.
Platycladus orientalis,Oriental Arborvitae,Used for its potential anti-inflammatory and calming properties.
Plectranthus amboinicus,Oregano Bush,Used for its antimicrobial properties and digestive aid.
Pluchea pteropoda,Scented Pluchea,Used for its anti-inflammatory and analgesic effects.
Plukenetia volubilis,Sacha Inchi,Rich in omega fatty acids; used for heart health and skin benefits.
Plumbago indica,Leadwort,Used for its anti-inflammatory properties and to treat skin conditions.
Plumeria rubra,Frangipani,Used for its calming effects and traditional uses in skin care.
Polygonum cuspidatum,Japanese Knotweed,Used for its antioxidant properties and to support cardiovascular health.
Polyscias fruticosa,Hawaiian Willow,Used for its potential anti-inflammatory and immune-boosting effects.
Polyscias guilfoylei,Polyscias,Traditionally used for its tonic and adaptogenic properties.
Polyscias scutellaria,Shield Polyscias,"Used for its traditional medicinal benefits, including anti-inflammatory effects."
Pouzolzia zeylanica,Pouzolzia,Used for its astringent properties and in traditional medicine for various ailments.
Premna serratifolia,Premna,Used for its anti-inflammatory and analgesic properties.
Pseuderanthemum latifolium,Broadleaf Pseuderanthemum,Used for its potential antimicrobial and anti-inflammatory effects.
Psidium guajava,Guava,Rich in vitamin C; used for digestive health and anti-diarrheal properties.
Psychotria reevesii,Reeves' Psychotria,Used in traditional medicine for its anti-inflammatory properties.
Psychotria rubra,Red Psychotria,Used for its potential digestive benefits and as an anti-inflammatory.
Quisqualis indica,Rangoon Creeper,Used for its anti-inflammatory and antimicrobial properties.
Rauvolfia,Rauvolfia,Used for its potential antihypertensive and sedative effects.
Rauvolfia tetraphylla,Devil Pepper,Used for treating hypertension and anxiety.
Rhinacanthus nasutus,Snakeweed,Used for its anti-inflammatory and antimicrobial effects.
Rhodomyrtus tomentosa,Rose Myrtle,Used for its antioxidant properties and to support digestive health.
Ruellia tuberosa,Minced Plant,Used for its diuretic effects and to treat urinary issues.
Sansevieria canaliculata,Channelled Snake Plant,Used for its air-purifying properties and potential health benefits.
Sansevieria hyacinthoides,Hyacinth Snake Plant,Traditionally used for its anti-inflammatory and antimicrobial properties.
Sarcandra glabra,Shui Xian,Used in traditional medicine for its anti-inflammatory and diuretic effects.
Sauropus androgynus,Katuk,Rich in vitamins; used for its nutritional benefits and to support lactation.
Schefflera heptaphylla,Umbrella Tree,Used for its potential anti-inflammatory properties and as an ornamental plant.
Schefflera venulosa,Venulous Schefflera,Used for its traditional medicinal properties and ornamental value.
Senna alata,Candle Bush,Used for its laxative properties and to treat skin conditions.
Sida acuta,Sida,Used for its anti-inflammatory and antimicrobial effects.
Solanum mammosum,Nipple Fruit,Traditionally used for its potential analgesic properties.
Solanum torvum,Turkey Berry,Used for its anti-inflammatory effects and to support digestive health.
Spilanthes acmella,Toothache Plant,Used for its analgesic properties and to relieve dental pain.
Spondias dulcis,Ambarella,Rich in vitamins; used for digestive health and anti-inflammatory effects.
Stachytarpheta jamaicensis,Vervain,Used for its anti-inflammatory and antiviral properties.
Stephania dielsiana,Diels' Stephania,Used for its potential anti-inflammatory and analgesic effects.
Stereospermum chelonoides,Indian Trumpet Tree,Used for its medicinal properties in treating respiratory issues.
Streptocaulon juventas,Juventa,Used for its potential anti-inflammatory and wound healing properties.
Syzygium nervosum,Nervous Syzygium,Traditionally used for its antiseptic and digestive benefits.
Tabernaemontana divaricata,Crape Jasmine,Used for its analgesic and anti-inflammatory effects.
Tacca subflabellata,Flat Tacca,Used traditionally for its digestive and anti-inflammatory properties.
Tamarindus indica,Tamarind,Rich in antioxidants; used for digestive health and to reduce fever.
Terminalia catappa,Indian Almond,Used for its anti-inflammatory properties and to promote digestive health.
Tradescantia discolor,Purple Heart,Used traditionally for its antioxidant and anti-inflammatory effects.
Trichanthera gigantea,Giant Chaff Flower,Used for its nutritional benefits and as fodder in livestock.
Vernonia amygdalina,Bitter Leaf,Used for its antimalarial properties and to aid digestion.
Vitex negundo,Chaste Tree,Used for its anti-inflammatory effects and to relieve menstrual discomfort.
Xanthium strumarium,Cocklebur,Used for its anti-inflammatory properties and to treat respiratory issues.
Zanthoxylum avicennae,Spiny Zanthoxylum,Used for its analgesic effects and to improve circulation.
Zingiber officinale,Ginger,Used for its digestive aid and anti-nausea properties.
Ziziphus mauritiana,Indian Jujube,Rich in vitamins; used for its antioxidant and immune-boosting effects.
